True Labels,Predicted Labels
2.298021989,3.9281957
6.251594833,6.950378
1.948332714,6.455906
3.2067083,2.7040606
15.22452667,10.776279
4.595463,6.2910986
0.0590468,3.8767512
10.69860586,8.227542
1.549718,5.3070984
2.357223653,2.5032773
16.708512,8.232479
1.863524779,2.8124633
6.176349818,6.71311
1.35967,6.6214767
0.07088859,3.2803013
0.502887272,10.238394
2.631886922,3.0975015
5.012441,5.6821632
5.382281071,3.451013
10.07585575,5.1894803
11.84733006,12.393554
5.544721,5.81924
0.2257643,4.6221514
7.806076,8.361619
0.42433485,6.0995455
5.72116385,7.074572
24.90437753,25.591217
30.26968605,23.5767
1.06674945,16.389444
13.36834886,7.7380877
15.34626117,5.590276
13.244237,10.498619
1.276428,5.5944343
39.5555744,35.74488
40.0226375,39.22186
11.71082325,7.994299
0.3521405,4.0021
1.566666033,3.4159741
4.9718485,7.7061625
7.0174595,6.796774
9.690545667,9.546568
16.09945,5.329299
9.4753035,14.473533
0.234410612,7.4920154
7.630736636,7.2328243
17.20447867,19.757317
8.744969231,6.8918967
8.2228315,6.9125547
9.072719632,10.2403965
9.0636159,15.250411
13.73427,17.414154
5.344920333,8.952646
10.99638,6.243991
9.316680356,4.6298084
9.292297,10.187691
5.202604333,3.6481354
10.55469467,5.533261
25.53344067,19.3595
12.82496694,13.841506
12.33447559,9.585734
13.286294,13.93244
14.78774178,16.180609
26.65226875,22.735418
4.012786,4.4986324
1.216847771,5.1518264
6.0883306,7.438952
1.768931345,3.8762054
20.357852,8.536255
2.04105,4.902271
15.27597,12.333761
11.7816755,10.920732
14.58988268,12.520689
0.3976655,3.3838675
8.89473095,7.5947676
3.097542206,8.952906
26.43417,30.484829
11.47245352,14.195692
3.4447095,13.155848
8.574945545,9.099899
5.648759336,8.49764
19.47764,20.318647
16.39548036,14.154936
38.439144,31.072237
11.03845477,10.262308
20.34766416,22.312159
4.122699265,4.7103295
10.1863815,6.216208
7.700620966,8.616987
8.642882333,6.7080016
4.216097667,3.9606373
8.407457723,7.068639
12.92905635,11.59279
15.87975495,17.411314
10.97671,8.88222
15.9032636,9.32689
10.39751091,12.913392
11.420595,12.688027
7.3956651,6.826672
8.035833222,7.6622357
11.46113643,7.785326
11.33915547,12.906773
9.5073934,9.474257
13.38743562,11.325253
15.54987971,14.390135
2.806273556,11.191529
11.70049369,10.904065
7.019601383,7.497148
9.824889808,11.80462
